ID,Line_EN,Station,Station_EN,Component_EN,Occurrence Date,Installation Date,Year,Month,YearMonth,Season,Days Since Installation,Months Since Installation,Years Since Installation,Average Daily Ridership,Ridership_Category,Location_Type_EN,Station_Daily_Runs,Station_Daily_Runs_Category,Manufacturer,Supplier,LineStation,LineStation_EN,LineStation_Failure_Count,PlatformDoor,PlatformDoor_Failure_Count,Platform_Number,Door_Number,Door_Position,Component
2559,Gyeongui Line,수색,Susaek,Motor,2020-08-16,2018-02-15,2020,8,2020-08,Summer,913,30.43333333,2.501369863,4137,Low,Above Ground,81,Low,dunkern,우진산전,경의선_수색,Gyeongui Line_Susaek,97,5번홈_3-2,10.0,5.0,3.0,2.0,모터
2560,Gyeongui Line,DMC,DMC,Motor,2020-08-17,2018-01-15,2020,8,2020-08,Summer,945,31.5,2.589041096,6446,Low,Above Ground,86,Medium-Low,dunkern,우진산전,경의선_DMC,Gyeongui Line_DMC,93,3번홈_6-1,42.0,3.0,6.0,1.0,모터
2561,Gyeongbu Line,남영,Namyeong,DCU,2020-08-21,2014-03-15,2020,8,2020-08,Summer,2351,78.36666667,6.44109589,13231,Medium-Low,Above Ground,236,High,삼중테크,삼중테크,경부선_남영,Gyeongbu Line_Namyeong,162,1번홈_7-3,73.0,1.0,7.0,3.0,DCU
2562,Gyeongui Line,강매,Gangmae,Emergency Door Sensor,2020-08-23,2018-01-15,2020,8,2020-08,Summer,951,31.7,2.605479452,4351,Low,Above Ground,78,Low,Unknown,우진산전,경의선_강매,Gyeongui Line_Gangmae,44,3번홈_2-3,42.0,3.0,2.0,3.0,비상문센서
2563,Gyeongui Line,DMC,DMC,Motor,2020-08-23,2018-01-15,2020,8,2020-08,Summer,951,31.7,2.605479452,6446,Low,Above Ground,86,Medium-Low,dunkern,우진산전,경의선_DMC,Gyeongui Line_DMC,93,3번홈_2-2,36.0,3.0,2.0,2.0,모터
2564,Gyeongbu Line,남영,Namyeong,Motor,2020-08-25,2014-03-15,2020,8,2020-08,Summer,2355,78.5,6.452054795,13231,Medium-Low,Above Ground,236,High,dunkern,삼중테크,경부선_남영,Gyeongbu Line_Namyeong,162,1번홈_7-3,73.0,1.0,7.0,3.0,모터
2565,Gyeongui Line,DMC,DMC,Motor,2020-08-25,2018-01-15,2020,8,2020-08,Summer,953,31.76666667,2.610958904,6446,Low,Above Ground,85,Medium-Low,dunkern,우진산전,경의선_DMC,Gyeongui Line_DMC,93,4번홈_7-4,33.0,4.0,7.0,4.0,모터
2566,Gyeongui Line,행신,Haengsin,Electrical Stop,2020-08-27,2018-01-15,2020,8,2020-08,Summer,955,31.83333333,2.616438356,10592,Medium-Low,Above Ground,82,Low,Unknown,우진산전,경의선_행신,Gyeongui Line_Haengsin,58,4번홈_2-3,35.0,4.0,2.0,3.0,전기정
2567,Ilsan Line,삼송,Samsong,DCU,2020-08-10,2016-11-15,2020,8,2020-08,Summer,1364,45.46666667,3.736986301,30046,High,Underground,132,Medium-High,TBR,GS네오텍,일산선_삼송,Ilsan Line_Samsong,54,2번홈_2-1,95.0,2.0,2.0,1.0,DCU
2568,Gyeongui Line,일산,Ilsan,Emergency Door Sensor,2020-08-24,2017-11-15,2020,8,2020-08,Summer,1013,33.76666667,2.775342466,13906,Medium-High,Above Ground,81,Low,Unknown,GS네오텍,경의선_일산,Gyeongui Line_Ilsan,27,4번홈_8-2,36.0,4.0,8.0,2.0,비상문센서
2569,Ilsan Line,원당,Wondang,Electrical Stop,2020-08-25,2015-11-15,2020,8,2020-08,Summer,1745,58.16666667,4.780821918,16674,Medium-High,Above Ground,132,Medium-High,Unknown,삼중테크,일산선_원당,Ilsan Line_Wondang,9,1번홈_5-2,82.0,1.0,5.0,2.0,전기정
2570,Seohae Line,대곡,Daegok,Emergency Door Sensor,2020-08-30,2018-02-15,2020,8,2020-08,Summer,927,30.9,2.539726027,3815,Low,Above Ground,81,Low,Unknown,우진산전,서해선_대곡,Seohae Line_Daegok,17,3번홈_6-1,42.0,3.0,6.0,1.0,비상문센서
2571,Gyeongbu Line,지제,Jije,DCU,2020-08-05,2017-09-15,2020,8,2020-08,Summer,1055,35.16666667,2.890410959,4680,Low,Above Ground,63,Low,나브코,현대무벡스,경부선_지제,Gyeongbu Line_Jije,13,2번홈_6-4,99.0,2.0,6.0,4.0,DCU
2572,Gyeongbu Line,관악,Gwanak,Motor,2020-08-07,2015-12-15,2020,8,2020-08,Summer,1697,56.56666667,4.649315068,9514,Medium-Low,Above Ground,109,Medium-Low,dunkern,우진산전,경부선_관악,Gyeongbu Line_Gwanak,119,2번홈_5-2,109.0,2.0,5.0,2.0,모터
2573,Gyeongbu Line,명학,Myeonghak,Motor,2020-08-10,2015-12-15,2020,8,2020-08,Summer,1700,56.66666667,4.657534247,10506,Medium-Low,Above Ground,111,Medium-Low,dunkern,우진산전,경부선_명학,Gyeongbu Line_Myeonghak,117,2번홈_4-1,98.0,2.0,4.0,1.0,모터
2574,Gyeongbu Line,수원,Suwon,Electrical Stop,2020-08-18,2010-12-15,2020,8,2020-08,Summer,3534,117.8,9.682191781,37109,High,Above Ground,135,Medium-High,Unknown,현대무벡스,경부선_수원,Gyeongbu Line_Suwon,36,3번홈_6-2,42.0,3.0,6.0,2.0,전기정
2575,Gyeongbu Line,수원,Suwon,Electrical Stop,2020-08-18,2010-12-15,2020,8,2020-08,Summer,3534,117.8,9.682191781,37109,High,Above Ground,135,Medium-High,Unknown,현대무벡스,경부선_수원,Gyeongbu Line_Suwon,36,3번홈_8-2,36.0,3.0,8.0,2.0,전기정
2576,Gyeongbu Line,명학,Myeonghak,Motor,2020-08-22,2015-12-15,2020,8,2020-08,Summer,1712,57.06666667,4.690410959,10506,Medium-Low,Above Ground,109,Medium-Low,dunkern,우진산전,경부선_명학,Gyeongbu Line_Myeonghak,117,1번홈_7-1,58.0,1.0,7.0,1.0,모터
2577,Gyeongbu Line,석수,Seoksu,DCU,2020-08-23,2017-11-15,2020,8,2020-08,Summer,1012,33.73333333,2.77260274,10817,Medium-Low,Above Ground,111,Medium-Low,나브코,현대무벡스,경부선_석수,Gyeongbu Line_Seoksu,8,4번홈_10-1,25.0,4.0,10.0,1.0,DCU
2578,Gyeongbu Line,독산,Doksan,Motor,2020-08-24,2014-12-15,2020,8,2020-08,Summer,2079,69.3,5.695890411,22621,Medium-High,Above Ground,131,Medium-High,대동모벨,GS네오텍,경부선_독산,Gyeongbu Line_Doksan,95,2번홈_4-2,93.0,2.0,4.0,2.0,모터
2579,Gyeongbu Line,독산,Doksan,Electrical Stop,2020-08-25,2014-12-15,2020,8,2020-08,Summer,2080,69.33333333,5.698630137,22621,Medium-High,Above Ground,131,Medium-High,Unknown,GS네오텍,경부선_독산,Gyeongbu Line_Doksan,95,1번홈_1-4,147.0,1.0,1.0,4.0,전기정
2580,Gyeongin Line,동암,Dongam,Open/Close Sensor,2020-08-02,2010-12-15,2020,8,2020-08,Summer,3518,117.2666667,9.638356164,20415,Medium-High,Above Ground,197,High,Unknown,현대무벡스,경인선_동암,Gyeongin Line_Dongam,158,2번홈_7-1,61.0,2.0,7.0,1.0,열림/닫힘센서
2581,Gyeongin Line,간석,Ganseok,Motor,2020-08-04,2015-12-15,2020,8,2020-08,Summer,1694,56.46666667,4.64109589,7477,Medium-Low,Above Ground,113,Medium-Low,dunkern,우진산전,경인선_간석,Gyeongin Line_Ganseok,111,1번홈_5-3,88.0,1.0,5.0,3.0,모터
2582,Suin Line,인천(지하),Incheon (Underground),Motor,2020-08-05,2016-03-15,2020,8,2020-08,Summer,1604,53.46666667,4.394520548,2190,Low,Underground,87,Medium-Low,dunkern,삼중테크,수인선_인천(지하),Suin Line_Incheon (Underground),19,1번홈_1-1,174.0,1.0,1.0,1.0,모터
2584,Gyeongin Line,간석,Ganseok,Motor,2020-08-06,2015-12-15,2020,8,2020-08,Summer,1696,56.53333333,4.646575342,7477,Medium-Low,Above Ground,114,Medium-Low,dunkern,우진산전,경인선_간석,Gyeongin Line_Ganseok,111,4번홈_2-2,37.0,4.0,2.0,2.0,모터
2585,Suin Line,소래포구,Sorae Port,Emergency Door Sensor,2020-08-06,2017-11-15,2020,8,2020-08,Summer,995,33.16666667,2.726027397,6956,Medium-Low,Above Ground,87,Medium-Low,Unknown,GS네오텍,수인선_소래포구,Suin Line_Sorae Port,22,2번홈_7-1,61.0,2.0,7.0,1.0,비상문센서
2586,Gyeongin Line,간석,Ganseok,Motor,2020-08-06,2015-12-15,2020,8,2020-08,Summer,1696,56.53333333,4.646575342,7477,Medium-Low,Above Ground,113,Medium-Low,dunkern,우진산전,경인선_간석,Gyeongin Line_Ganseok,111,1번홈_6-1,81.0,1.0,6.0,1.0,모터
2587,Suin Line,호구포,Hogupo,Obstacle Sensor,2020-08-10,2017-08-15,2020,8,2020-08,Summer,1091,36.36666667,2.989041096,4823,Low,Above Ground,82,Low,Unknown,GS네오텍,수인선_호구포,Suin Line_Hogupo,23,2번홈_5-3,73.0,2.0,5.0,3.0,장애물센서
2597,Gyeongin Line,간석,Ganseok,Motor,2020-08-12,2015-12-15,2020,8,2020-08,Summer,1702,56.73333333,4.663013699,7477,Medium-Low,Above Ground,113,Medium-Low,dunkern,우진산전,경인선_간석,Gyeongin Line_Ganseok,111,1번홈_9-3,38.0,1.0,9.0,3.0,모터
2598,Gyeongin Line,동암,Dongam,Electrical Stop,2020-08-15,2010-12-15,2020,8,2020-08,Summer,3531,117.7,9.673972603,20415,Medium-High,Above Ground,196,High,Unknown,현대무벡스,경인선_동암,Gyeongin Line_Dongam,158,4번홈_6-4,33.0,4.0,6.0,4.0,전기정
2599,Suin Line,월곶,Wolgot,DCU,2020-08-17,2017-09-15,2020,8,2020-08,Summer,1067,35.56666667,2.923287671,3578,Low,Above Ground,82,Low,TBR,GS네오텍,수인선_월곶,Suin Line_Wolgot,18,1번홈_7-1,58.0,1.0,7.0,1.0,DCU
